Age,Mileage,SocioEcon,RiskAversion,GoodStudent,OtherCar,AntiTheft,SeniorTrain,HomeBase,VehicleYear,MakeModel,DrivingSkill,RuggedAuto,Airbag,Antilock,CarValue,DrivQuality,DrivHist,Cushioning,Theft,Accident,MedCost,OtherCarCost,ThisCarDam,ILiCost,ThisCarCost,PropCost
Senior,TwentyThou,UpperMiddle,Normal,False,True,True,False,Suburb,Current,Luxury,SubStandard,EggShell,True,True,FiftyThou,Poor,One,Good,False,Moderate,Thousand,Thousand,Moderate,Thousand,HundredThou,HundredThou
Adult,TwentyThou,Prole,Adventurous,False,True,False,False,Rural,Older,Economy,Expert,EggShell,False,False,FiveThou,Excellent,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,Normal,False,False,True,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,Normal,False,True,False,False,City,Older,FamilySedan,Normal,Football,False,False,TenThou,Normal,Many,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,Adventurous,False,True,False,False,Rural,Older,Economy,Expert,EggShell,False,False,TenThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Prole,Adventurous,False,True,False,False,City,Current,FamilySedan,Normal,Football,True,True,TwentyThou,Normal,One,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,Cautious,False,False,True,False,City,Older,Economy,SubStandard,EggShell,False,False,TenThou,Poor,Many,Poor,False,Severe,Thousand,Thousand,Severe,Thousand,TenThou,TenThou
Adult,TwentyThou,UpperMiddle,Normal,False,True,True,False,Suburb,Current,SportsCar,Normal,EggShell,True,True,TwentyThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Middle,Normal,True,True,False,False,Suburb,Older,FamilySedan,Normal,Tank,False,False,TwentyThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,Cautious,False,True,True,False,Secure,Current,FamilySedan,SubStandard,Football,True,False,TwentyThou,Poor,Zero,Fair,False,Severe,Thousand,TenThou,Severe,Thousand,HundredThou,HundredThou
Senior,FiveThou,UpperMiddle,Cautious,False,True,True,True,Secure,Older,Luxury,Normal,Football,True,False,FiftyThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiveThou,Middle,Normal,False,True,False,False,Suburb,Older,FamilySedan,SubStandard,Tank,True,False,TwentyThou,Poor,Many,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,Normal,False,True,False,False,City,Older,Economy,Normal,EggShell,False,False,TenThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,Domino,Middle,Normal,False,True,False,False,Rural,Current,SportsCar,Normal,EggShell,True,True,TwentyThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,Normal,False,True,True,False,Suburb,Older,Economy,Normal,EggShell,True,False,FiveThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Middle,Normal,False,True,False,False,Suburb,Older,FamilySedan,Normal,Tank,False,False,FiveThou,Normal,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,Normal,False,True,False,False,City,Older,SportsCar,SubStandard,EggShell,False,False,TenThou,Poor,Zero,Fair,False,Moderate,Thousand,TenThou,Severe,Thousand,TenThou,TenThou
Senior,TwentyThou,Prole,Cautious,False,False,True,True,City,Current,FamilySedan,SubStandard,Football,True,False,TwentyThou,Poor,Many,Good,False,Moderate,Thousand,HundredThou,Moderate,Thousand,Thousand,HundredThou
Adult,TwentyThou,Middle,Normal,False,True,False,False,Secure,Older,SportsCar,Normal,EggShell,False,False,FiftyThou,Normal,One,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,FiveThou,Middle,Normal,False,True,False,False,Suburb,Older,FamilySedan,Normal,Football,False,False,FiveThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,Normal,False,True,True,False,Suburb,Older,SportsCar,Normal,EggShell,False,False,TenThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,UpperMiddle,Normal,False,True,True,False,Secure,Current,FamilySedan,Normal,Football,True,False,TwentyThou,Normal,Many,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Senior,TwentyThou,UpperMiddle,Cautious,False,True,True,False,Secure,Current,SportsCar,SubStandard,EggShell,True,True,TwentyThou,Poor,Zero,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,Normal,False,True,False,False,City,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,Normal,False,True,True,False,Suburb,Current,FamilySedan,Expert,Tank,True,True,TwentyThou,Excellent,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiveThou,Prole,Normal,False,False,False,False,Suburb,Older,Economy,Expert,EggShell,False,False,TenThou,Excellent,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,Domino,Prole,Adventurous,False,True,False,False,Suburb,Older,FamilySedan,SubStandard,Football,False,False,FiveThou,Poor,Many,Good,False,Severe,Thousand,TenThou,Severe,Thousand,TenThou,TenThou
Adult,TwentyThou,Middle,Adventurous,False,True,False,False,Suburb,Current,FamilySedan,Expert,EggShell,True,False,TwentyThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,Adventurous,True,True,False,False,Suburb,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Severe,Million,TenThou,Severe,TenThou,TenThou,HundredThou
Adult,TwentyThou,UpperMiddle,Adventurous,False,True,False,False,Secure,Current,SportsCar,Normal,EggShell,True,True,TwentyThou,Poor,Zero,Fair,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,FiveThou,Middle,Normal,False,False,False,False,Suburb,Older,SportsCar,SubStandard,EggShell,False,False,Million,Poor,Many,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Senior,FiftyThou,Middle,Cautious,False,True,True,True,Secure,Older,FamilySedan,Normal,EggShell,False,False,TenThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,Adventurous,False,True,False,False,City,Current,SportsCar,SubStandard,EggShell,True,True,TwentyThou,Poor,Many,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,Normal,False,True,False,False,City,Older,Economy,SubStandard,EggShell,False,False,TenThou,Poor,Many,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,UpperMiddle,Normal,False,True,True,False,Secure,Current,SportsCar,SubStandard,EggShell,True,True,TwentyThou,Poor,Many,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,Adventurous,False,False,False,False,City,Current,Economy,Normal,Football,True,False,TenThou,Normal,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Prole,Normal,False,True,False,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,Normal,False,True,False,False,Secure,Current,FamilySedan,Normal,Football,True,True,TwentyThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiveThou,Middle,Adventurous,False,False,False,False,Suburb,Older,FamilySedan,Normal,Football,True,False,TwentyThou,Poor,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Prole,Normal,False,False,True,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Fair,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,Adventurous,False,True,False,False,Suburb,Older,FamilySedan,SubStandard,EggShell,False,False,TwentyThou,Poor,Many,Poor,False,Severe,Million,HundredThou,Severe,Thousand,HundredThou,HundredThou
Senior,TwentyThou,Prole,Normal,False,False,False,True,City,Older,FamilySedan,Expert,Tank,False,False,FiveThou,Excellent,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,TwentyThou,UpperMiddle,Adventurous,False,True,False,False,Secure,Current,Luxury,Normal,Tank,True,True,FiftyThou,Normal,One,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Middle,Normal,False,True,True,False,Rural,Older,FamilySedan,SubStandard,Tank,False,False,FiveThou,Poor,One,Good,False,Mild,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,Normal,False,True,False,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,Adventurous,True,True,False,False,Suburb,Older,FamilySedan,SubStandard,Football,False,False,TwentyThou,Poor,Many,Fair,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,TwentyThou,UpperMiddle,Normal,False,False,True,False,Secure,Current,SportsCar,Normal,EggShell,True,False,TwentyThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,FiftyThou,UpperMiddle,Normal,False,True,True,True,Suburb,Current,Luxury,SubStandard,Football,True,True,FiftyThou,Poor,Many,Excellent,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Prole,Adventurous,False,False,False,False,City,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,TenThou
Adult,FiveThou,Prole,Adventurous,False,True,False,False,Rural,Older,Economy,Normal,EggShell,False,False,FiveThou,Excellent,One,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Middle,Normal,False,True,False,False,Secure,Older,Economy,Expert,EggShell,True,False,FiveThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Prole,Normal,False,True,False,False,City,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,Adventurous,False,False,False,False,Suburb,Older,SportsCar,Expert,EggShell,False,True,FiveThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Prole,Adventurous,False,True,False,False,Rural,Older,Economy,SubStandard,Football,False,False,FiveThou,Poor,Many,Fair,False,Mild,Thousand,Thousand,Moderate,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Prole,Normal,True,True,False,False,Rural,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Prole,Adventurous,True,True,False,False,City,Older,SportsCar,Normal,EggShell,False,False,FiftyThou,Poor,Zero,Fair,False,Severe,Thousand,HundredThou,Severe,Thousand,HundredThou,HundredThou
Adult,TwentyThou,Prole,Normal,False,True,True,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,Normal,False,False,False,False,Secure,Older,SportsCar,Normal,EggShell,False,False,TenThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,Adventurous,False,True,False,False,Suburb,Current,Economy,SubStandard,Football,True,False,TenThou,Poor,Many,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,Domino,UpperMiddle,Adventurous,True,True,False,False,City,Older,Luxury,Normal,Football,True,False,FiftyThou,Excellent,Many,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Middle,Normal,False,True,False,False,Suburb,Older,FamilySedan,Normal,Tank,True,False,FiveThou,Normal,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,Adventurous,False,True,False,False,Suburb,Older,FamilySedan,Normal,Tank,False,False,FiveThou,Normal,Zero,Excellent,False,Moderate,Thousand,TenThou,Mild,Thousand,Thousand,TenThou
Adult,TwentyThou,UpperMiddle,Adventurous,False,True,False,False,City,Older,Luxury,Normal,EggShell,True,False,FiftyThou,Excellent,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Prole,Normal,False,False,False,False,City,Older,Economy,Expert,EggShell,False,False,FiveThou,Excellent,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,Normal,False,False,False,False,City,Older,FamilySedan,Normal,Tank,False,False,FiveThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,Normal,False,True,False,False,Suburb,Older,FamilySedan,SubStandard,Football,True,False,FiveThou,Poor,Many,Good,False,Severe,Thousand,TenThou,Severe,Thousand,TenThou,TenThou
Adult,FiftyThou,Middle,Normal,False,True,False,False,Suburb,Current,FamilySedan,SubStandard,Tank,True,False,TwentyThou,Poor,Many,Excellent,False,Severe,Thousand,TenThou,Mild,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,Normal,False,False,True,False,Suburb,Current,Economy,Normal,Football,True,False,TenThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Middle,Adventurous,False,True,False,False,Suburb,Older,SportsCar,Normal,EggShell,False,False,TenThou,Poor,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,Normal,False,False,False,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,FiftyThou,Prole,Normal,False,True,False,True,City,Current,Economy,Expert,Football,True,False,TenThou,Excellent,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,Cautious,False,True,True,False,City,Older,FamilySedan,Normal,Football,False,False,FiveThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,Domino,Prole,Normal,True,False,True,False,Rural,Older,SportsCar,Normal,EggShell,False,False,FiveThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,TwentyThou,Middle,Cautious,False,True,True,True,Secure,Older,FamilySedan,Normal,EggShell,False,False,FiveThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,FiftyThou,Middle,Cautious,False,True,True,True,Secure,Current,FamilySedan,Expert,EggShell,True,False,TwentyThou,Excellent,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,Adventurous,False,True,False,False,City,Older,FamilySedan,Normal,Football,False,False,TenThou,Poor,Zero,Fair,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,Adventurous,False,True,False,False,Suburb,Older,FamilySedan,SubStandard,Tank,False,False,FiveThou,Poor,Many,Good,False,Moderate,Thousand,HundredThou,Mild,Thousand,Thousand,HundredThou
Senior,FiftyThou,Prole,Cautious,False,False,True,True,City,Older,SportsCar,Normal,EggShell,True,False,TenThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Wealthy,Adventurous,False,True,True,False,Secure,Current,SuperLuxury,SubStandard,Football,True,True,Million,Poor,Many,Fair,False,Severe,HundredThou,HundredThou,Severe,Thousand,Million,Million
Adult,FiftyThou,Prole,Cautious,False,False,True,False,Rural,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,FiftyThou,Prole,Cautious,False,True,True,True,City,Older,SportsCar,Expert,EggShell,False,False,TenThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiveThou,Prole,Cautious,False,True,True,False,City,Older,Economy,SubStandard,Football,False,False,TenThou,Poor,One,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Middle,Normal,False,True,False,False,Suburb,Older,FamilySedan,SubStandard,Football,False,False,FiveThou,Poor,Many,Fair,False,Severe,Thousand,TenThou,Severe,Thousand,TenThou,HundredThou
Adult,FiftyThou,Prole,Normal,False,False,False,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,UpperMiddle,Normal,False,True,True,False,Secure,Current,Luxury,Normal,Football,True,True,FiftyThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,Domino,Middle,Normal,False,True,False,False,Secure,Older,FamilySedan,Normal,Football,True,False,FiveThou,Normal,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,FiftyThou,UpperMiddle,Cautious,False,True,True,True,Secure,Older,FamilySedan,Expert,Football,False,False,FiveThou,Excellent,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Prole,Adventurous,False,True,False,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Excellent,Many,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,TwentyThou,UpperMiddle,Normal,False,True,True,False,Secure,Older,SportsCar,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Fair,False,Severe,TenThou,Thousand,Severe,Thousand,TenThou,TenThou
Adult,TwentyThou,Middle,Normal,False,True,False,False,Suburb,Older,FamilySedan,SubStandard,Football,True,False,TenThou,Poor,Many,Good,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,Normal,False,False,False,False,City,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Severe,TenThou,TenThou,Severe,Thousand,TenThou,TenThou
Adolescent,FiftyThou,Middle,Normal,True,True,False,False,Secure,Current,FamilySedan,SubStandard,EggShell,True,False,TwentyThou,Poor,Many,Poor,False,Moderate,Thousand,Thousand,Severe,Thousand,HundredThou,HundredThou
Adolescent,TwentyThou,Middle,Adventurous,False,False,False,False,Suburb,Older,Economy,Normal,EggShell,False,False,TenThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,Normal,False,True,True,False,Suburb,Current,Economy,Normal,EggShell,True,False,TwentyThou,Normal,Zero,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,UpperMiddle,Cautious,False,True,True,False,Secure,Current,Luxury,Normal,Tank,True,False,FiftyThou,Normal,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,Normal,False,True,False,False,Suburb,Current,FamilySedan,SubStandard,EggShell,True,True,TwentyThou,Poor,Many,Fair,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,TwentyThou,UpperMiddle,Normal,False,False,True,False,Secure,Current,FamilySedan,SubStandard,Football,True,False,TwentyThou,Poor,Many,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiveThou,UpperMiddle,Normal,False,True,True,False,Suburb,Current,Luxury,Normal,Tank,True,True,FiftyThou,Normal,Zero,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,Normal,False,True,False,False,Secure,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adolescent,TwentyThou,UpperMiddle,Normal,True,True,True,False,Suburb,Current,Luxury,SubStandard,Tank,True,True,FiftyThou,Poor,Many,Excellent,False,Severe,Thousand,HundredThou,Mild,Thousand,Thousand,HundredThou
Adolescent,FiftyThou,Prole,Adventurous,False,True,False,False,City,Older,Economy,SubStandard,EggShell,True,False,FiveThou,Poor,Many,Poor,False,Severe,Thousand,HundredThou,Severe,Thousand,TenThou,HundredThou
Adolescent,FiftyThou,Prole,Normal,False,True,False,False,City,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Prole,Adventurous,False,False,False,False,Rural,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Fair,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,UpperMiddle,Normal,False,True,True,False,Suburb,Current,FamilySedan,Normal,Football,True,True,TwentyThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,TwentyThou,UpperMiddle,Cautious,False,True,True,True,Secure,Current,Luxury,Normal,Football,True,True,FiftyThou,Excellent,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Middle,Adventurous,False,False,False,False,Suburb,Older,Economy,Normal,EggShell,False,False,FiveThou,Excellent,Many,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiveThou,UpperMiddle,Cautious,False,True,True,False,Secure,Older,Luxury,Normal,EggShell,True,False,FiftyThou,Normal,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,Normal,False,True,False,False,City,Older,FamilySedan,SubStandard,Tank,False,False,FiveThou,Poor,One,Good,False,Severe,TenThou,TenThou,Mild,Thousand,Thousand,TenThou
Adult,FiftyThou,UpperMiddle,Normal,False,True,True,False,Secure,Current,Economy,SubStandard,Football,True,False,TenThou,Poor,Many,Excellent,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
Adult,TwentyThou,UpperMiddle,Cautious,False,True,True,False,Secure,Current,FamilySedan,Normal,EggShell,True,False,TwentyThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,UpperMiddle,Normal,False,False,True,False,Suburb,Older,Luxury,Expert,Football,False,True,FiftyThou,Excellent,One,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,TwentyThou,Prole,Adventurous,False,False,False,False,City,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Severe,Thousand,TenThou,Severe,Thousand,TenThou,HundredThou
Adolescent,TwentyThou,UpperMiddle,Adventurous,True,True,False,False,Rural,Current,FamilySedan,SubStandard,EggShell,True,True,TwentyThou,Poor,Many,Fair,False,Severe,Thousand,HundredThou,Severe,Million,HundredThou,HundredThou
Adult,FiveThou,Prole,Normal,False,True,False,False,City,Older,FamilySedan,SubStandard,Tank,False,False,FiveThou,Poor,Many,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Wealthy,Adventurous,False,True,True,False,Secure,Current,Luxury,SubStandard,Tank,True,True,FiftyThou,Poor,Many,Excellent,False,Moderate,Thousand,TenThou,Mild,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,Adventurous,False,False,False,False,City,Current,Economy,Normal,EggShell,True,False,TenThou,Poor,Zero,Poor,False,Moderate,Thousand,Thousand,Moderate,Thousand,TenThou,TenThou
Adolescent,Domino,Prole,Adventurous,False,False,False,False,City,Older,Economy,Normal,EggShell,False,False,FiveThou,Excellent,One,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adolescent,FiveThou,UpperMiddle,Adventurous,False,True,False,False,City,Older,Luxury,SubStandard,Tank,True,True,FiftyThou,Poor,Many,Excellent,False,Mild,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,Adventurous,False,True,False,False,City,Older,Economy,SubStandard,Football,False,False,TenThou,Poor,Many,Fair,False,Severe,Thousand,TenThou,Severe,HundredThou,TenThou,HundredThou
Adult,FiftyThou,Middle,Cautious,False,True,True,False,Secure,Older,FamilySedan,Normal,Tank,False,False,FiveThou,Excellent,Zero,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
